x,z
0,-800
800,0
5.0,5.0
5.0,5.0
5.0,5.0
209.0543,-110.117905
209.0543,-110.117905
209.0543,-110.117905
39.862823,-140.8696
39.862823,-140.8696
39.862823,-140.8696
20.824299,-90.361435
20.824299,-90.361435
20.824299,-90.361435
